state,year,domestic_visitors_000,tourism_receipts_rm_million,tourism_trips_000,tourism_growth_pct,spending_per_visitor_rm,trips_per_visitor,tourism_intensity,tourism_value_growth_pct,local_prosperity_context,income_mean,income_median,expenditure_mean,gini,poverty,google_search_interest,search_interest_growth_pct,digital_interest_trend,emerging_viral_destination,opportunity_pattern,pressure_pattern,average_length_of_stay,population_000,avg_receipts_per_trip_rm,tourism_receipts_rm,domestic_visitors
Kelantan,2021,1920.93,477.222127559975,1971.69,-68.291977974254,248.432856772488,1.026424700535678,1.0599404072173482,-69.312893896524,not_available,,,,,,57.75,-0.4310344827586206,stable,not_flagged,monitor,no_pressure_signal,3.13854552971283,1812.3,242.037098915131,477222127.55997497,1920930.0
Kelantan,2022,6627.155,2586.22406280686,8783.75,244.997214890704,390.246502881984,1.3254179206612793,3.6202092210204304,441.932972812925,higher_need,4443.818181818182,3338.7272727272725,3291.5454545454545,0.3754545454545454,16.990909090909092,71.75,24.24242424242424,strongly_increasing,not_flagged,emerging_opportunity,no_pressure_signal,3.15837090332652,1830.6,294.432794968762,2586224062.80686,6627155.0
Kelantan,2023,7549.37,3228.385093431,9299.793,13.9156998742296,427.636358190286,1.2318634535067163,4.059237552424992,24.830061704986,not_available,,,,,,72.33333333333333,0.8130081300812941,stable,not_flagged,positive_momentum,no_pressure_signal,3.07348440786154,1859.8,347.145908885391,3228385093.431,7549370.0
Kelantan,2024,10514.411,4540.61133613717,12463.79,39.2753435054846,431.846475864142,1.1854006848315135,5.569368610625562,40.6465215496206,higher_need,4765.454545454545,3846.909090909091,3551.454545454545,0.3256363636363636,12.945454545454544,58.583333333333336,-19.009216589861744,strongly_decreasing,not_flagged,monitor,no_pressure_signal,2.98185888956928,1887.9,364.304223365218,4540611336.13717,10514411.0
Kelantan,2025,12062.016,5239.00827617872,13710.6658612469,14.7188939066582,434.339357216797,1.1366811204069784,6.325458073312706,15.3811213587749,not_available,,,,,,54.5,-6.970128022759606,decreasing,not_flagged,monitor,no_pressure_signal,2.97778806075638,1906.9,382.111877657725,5239008276.17872,12062016.0
Melaka,2019,13978.9741697121,6369.89280746409,24042.6304047684,6.52591509698714,455.67669917193,1.719913787154781,15.057059639931174,14.493599565688,not_available,,,,,,62.66666666666666,-19.65811965811966,strongly_decreasing,not_flagged,monitor,high_intensity_monitor,2.28966405974747,928.4,264.941593337505,6369892807.464089,13978974.1697121
Melaka,2020,7274.547,2372.6250612483,9964.031,-47.960795179366,326.154338029337,1.3697115435504097,7.286204927884615,-62.7525119658511,not_available,,,,,,56.0,-10.638297872340424,decreasing,not_flagged,monitor,no_pressure_signal,1.80179499171813,998.4,238.118996342775,2372625061.2483,7274547.0
Melaka,2021,3878.14,1004.11271080667,4364.264,-46.6889141000807,258.916055327211,1.1253497810806212,3.860766550522648,-57.6792504131108,not_available,,,,,,46.25,-17.410714285714285,strongly_decreasing,not_flagged,monitor,no_pressure_signal,1.8643007203704,1004.5,230.076070285086,1004112710.80667,3878140.0
Melaka,2022,11757.166,4842.59364655733,16667.987,203.165073978763,411.884432571364,1.4176874767269596,11.656916517945666,382.275903336285,moderate_context,7657.666666666667,6021.0,5452.666666666667,0.3526666666666667,4.666666666666667,69.75,50.810810810810814,strongly_increasing,potential_emerging_digital_destination,positive_momentum,possible_pressure,2.13841463522688,1008.6,290.532602800646,4842593646.55733,11757166.0
Melaka,2023,15558.661,6438.41105660879,20093.758,32.3334296717423,413.81524133785,1.2914837594314834,15.13046873480502,32.9537749091533,not_available,,,,,,60.0,-13.978494623655912,decreasing,not_flagged,monitor,high_intensity_monitor,2.23400775634919,1028.3,320.418463117192,6438411056.60879,15558661.0
