state,year,tourism_receipts_rm_million,tourism_receipts_rm,tourism_receipts_growth_pct,domestic_visitors_000,domestic_visitors,domestic_visitors_growth_pct,tourism_trips_000,tourism_trips_growth_pct,avg_receipts_per_visitor_rm,avg_receipts_per_trip_rm,average_length_of_stay,population_000,tourism_intensity_visitors_per_resident
Kedah,2022,3469.82268561478,3469822685.61478,311.992450870907,11186.197,11186197.0,178.055964177994,11894.479,180.479030591828,310.187875791458,291.717080303793,2.1120801053992,2163.1,5.171373029448477
Kedah,2023,4206.61948328264,4206619483.2826405,21.2344221715559,13444.055,13444055.0,20.1843218030221,13687.381,15.0733966573904,312.898116177198,307.335602280863,2.02721858973257,2189.3,6.1408007125565245
Kedah,2024,4961.15023607227,4961150236.072269,17.9367483982847,14651.4879543306,14651487.954330599,8.98116642880886,15984.149,16.7801860706588,338.610675689487,310.379378725278,2.76758567052739,2217.1,6.6084019459341485
Kedah,2025,5520.25004061484,5520250040.6148405,11.2695600402782,15607.884,15607884.0,6.52763766144799,17650.0664675874,10.4223094240888,353.683435923463,312.760864144746,2.8191254738061,2227.1,7.008164878092587
Kelantan,2019,4800.04103126423,4800041031.26423,19.9591838148889,10985.6520100096,10985652.0100096,11.5733728270763,15911.2787640876,11.7559407942869,436.937291194975,301.675377726278,3.00996244733286,1883.8,5.831644553567045
Kelantan,2020,1555.12261713697,1555122617.1369698,-67.6018890878651,6058.183,6058183.0,-44.8536782843652,6568.194,-58.7198860796489,256.697860915884,236.765634074902,1.85860052110295,1792.5,3.379739470013947
Kelantan,2021,477.222127559975,477222127.55997497,-69.312893896524,1920.93,1920930.0,-68.291977974254,1971.69,-69.9812459863396,248.432856772488,242.037098915131,3.13854552971283,1812.3,1.0599404072173482
Kelantan,2022,2586.22406280686,2586224062.80686,441.932972812925,6627.155,6627155.0,244.997214890704,8783.75,345.493459925242,390.246502881984,294.432794968762,3.15837090332652,1830.6,3.6202092210204304
Kelantan,2023,3228.385093431,3228385093.4309998,24.830061704986,7549.37,7549370.0,13.9156998742296,9299.793,5.87497367297567,427.636358190286,347.145908885391,3.07348440786154,1859.8,4.059237552424992
Kelantan,2024,4540.61133613717,4540611336.13717,40.6465215496206,10514.411,10514411.0,39.2753435054846,12463.79,34.0222303872785,431.846475864142,364.304223365218,2.98185888956928,1887.9,5.569368610625562
Kelantan,2025,5239.00827617872,5239008276.1787195,15.3811213587749,12062.016,12062016.0,14.7188939066582,13710.6658612469,10.0039864378885,434.339357216797,382.111877657725,2.97778806075638,1906.9,6.325458073312706
Melaka,2019,6369.89280746409,6369892807.464089,14.493599565688,13978.9741697121,13978974.1697121,6.52591509698714,24042.6304047684,11.0293931771538,455.67669917193,264.941593337505,2.28966405974747,928.4,15.057059639931174
Melaka,2020,2372.6250612483,2372625061.2483,-62.7525119658511,7274.547,7274547.0,-47.960795179366,9964.031,-58.5568183170847,326.154338029337,238.118996342775,1.80179499171813,998.4,7.286204927884615
Melaka,2021,1004.11271080667,1004112710.80667,-57.6792504131108,3878.14,3878140.0,-46.6889141000807,4364.264,-56.1998151149871,258.916055327211,230.076070285086,1.8643007203704,1004.5,3.860766550522648
Melaka,2022,4842.59364655733,4842593646.55733,382.275903336285,11757.166,11757166.0,203.165073978763,16667.987,281.91976928985,411.884432571364,290.532602800646,2.13841463522688,1008.6,11.656916517945666
Melaka,2023,6438.41105660879,6438411056.60879,32.9537749091533,15558.661,15558661.0,32.3334296717423,20093.758,20.552997791515,413.81524133785,320.418463117192,2.23400775634919,1028.3,15.130468734805019
Melaka,2024,7933.20647467174,7933206474.67174,23.216837274293,19128.405,19128405.0,22.9437738890255,24174.131,20.3066693646853,414.734342705089,328.169251447828,2.13441079422518,1046.7,18.274964173115503
Melaka,2025,8732.39649344146,8732396493.44146,10.0739848549421,20832.201530282,20832201.530282,8.90715420486967,26436.4441561187,9.35840529745908,419.177804167644,330.316605435771,2.11048007597558,1052.0,19.802472937530418
Negeri Sembilan,2019,5071.03036849894,5071030368.49894,4.98921414600528,13303.0418435376,13303041.843537599,3.91281272360908,19414.2056502318,10.6810636567001,381.193296100347,261.20205275761,2.45685046526145,1126.2,11.812326268458177
Negeri Sembilan,2020,2232.9800948256,2232980094.8256,-55.9659490762116,7917.736,7917736.0,-40.4817627943769,9567.142,-50.7209196587151,282.022549732096,233.400956610198,1.89511215363317,1200.0,6.598113333333333
Negeri Sembilan,2021,1213.38512045771,1213385120.45771,-45.6607283123821,5485.17,5485170.0,-30.7229996049376,6554.829,-31.4860279067667,221.211944289368,185.113161679384,1.72219303562174,1204.2,4.555032386646737
Negeri Sembilan,2022,3651.3406055165,3651340605.5165,200.921821436145,11490.144,11490144.0,109.476533999858,14278.615,117.833523956155,317.780230214391,255.72092289879,2.4775740593211,1207.9,9.512496067555261
Negeri Sembilan,2023,4777.28125500884,4777281255.008841,30.8363631645662,14959.47,14959470.0,30.1939296844322,17800.523,24.6656135766669,319.348296096643,268.378701850998,2.41840105295885,1224.9,12.212809208915012
Negeri Sembilan,2024,5869.462129308,5869462129.308,22.8619755881871,17784.532,17784532.0,18.8847733241886,21816.55,22.5612865419741,330.031857420145,269.037135995746,2.25257557638478,1239.5,14.348150060508269
Negeri Sembilan,2025,6529.26193925348,6529261939.25348,11.2412312305569,19356.545,19356545.0,8.83921488628432,24064.3142989688,10.3030236172484,337.315463025735,271.325492932631,2.29491785206345,1243.9,15.561174531714766
Pahang,2019,7600.74634258733,7600746342.58733,2.64575118492816,18497.5783549097,18497578.3549097,2.13248398575252,22744.9498261507,3.87675931901372,410.904941001096,334.172921931376,2.48526051771162,1671.4,11.067116402363109
Pahang,2020,2748.04988629641,2748049886.29641,-63.8449993930338,9905.002,9905002.0,-46.4524392871623,10380.441,-54.3615568319908,277.440619022228,264.733443048942,1.92726887226897,1591.3,6.224471815496764
Pahang,2021,914.378229522129,914378229.522129,-66.7262870997422,3404.772,3404772.0,-65.6257313224167,3504.979,-66.2347775012642,268.557844555268,260.879802567185,1.92173287260011,1601.5,2.1259893849516076
Pahang,2022,5316.78906097375,5316789060.97375,481.464965953138,13188.959,13188959.0,287.366878017089,14993.999,327.791407594739,403.124239067977,354.594465490744,2.10555957854831,1614.3,8.170079291333705
Pahang,2023,6733.34364809185,6733343648.09185,26.6430465996081,16455.567,16455567.0,24.7677470223389,17632.756,17.5987540081869,409.183326718055,381.865639613674,2.12715370546925,1643.2,10.014342137293086
Pahang,2024,8709.75913589491,8709759135.89491,29.3526602992134,20173.876,20173876.0,22.5960551830271,22665.013,28.539253875004,431.734543024598,384.28211516556,2.16717969419742,1667.7,12.096825568147748
Pahang,2025,9846.76892463924,9846768924.63924,13.054434353511,23161.166,23161166.0,14.8077146900278,25285.2635929909,11.5607725130839,425.141330304322,389.4271811099,2.20889169822045,1676.8,13.812718272900764
Perak,2019,7824.05505390701,7824055053.90701,20.9561938304968,21070.7209104421,21070720.910442103,20.0394656170629,28471.2873970551,20.3806301694821,371.323557801462,274.805102586134,2.20883049475721,2508.8,8.398724852695352
Perak,2020,3317.0693364196,3317069336.4196,-57.6042178440041,13173.306,13173306.0,-37.4805159444181,14045.532,-50.6677313037387,251.802344561008,236.16544652204,1.8485066338042,2496.0,5.277766826923077
