state,year,domestic_visitors_000,tourism_receipts_rm_million,tourism_growth_pct,tourism_value_growth_pct,tourism_intensity,google_search_interest,search_interest_growth_pct
Pahang,2022,13188.959,5316.78906097375,287.366878017089,481.464965953138,8.170079291333705,61.75,4.073033707865164
Pahang,2023,16455.567,6733.34364809185,24.7677470223389,26.6430465996081,10.014342137293086,55.416666666666664,-10.25641025641026
Pahang,2024,20173.876,8709.75913589491,22.5960551830271,29.3526602992134,12.096825568147748,49.916666666666664,-9.92481203007519
Pahang,2025,23161.166,9846.76892463924,14.8077146900278,13.054434353511,13.812718272900764,52.25,4.674457429048419
Perak,2019,21070.7209104421,7824.05505390701,20.0394656170629,20.9561938304968,8.398724852695352,62.5,-6.7164179104477615
Perak,2020,13173.306,3317.0693364196,-37.4805159444181,-57.6042178440041,5.277766826923077,75.83333333333333,21.333333333333325
Perak,2021,4489.273,1159.53265234848,-65.9214399179674,-65.0434605144533,1.7844315923364336,72.66666666666667,-4.175824175824164
Perak,2022,14566.727,4541.33101270089,224.478529151602,291.651843827168,5.793321269487751,76.41666666666667,5.160550458715596
Perak,2023,17107.518,5641.02361320425,17.4424288997796,24.2152046928051,6.732062804974029,70.58333333333333,-7.633587786259553
Perak,2024,21776.217,7223.79803827434,27.2903351614185,28.0582839852896,8.475214836148517,68.08333333333333,-3.541912632821724
Perak,2025,23642.055,8018.53798306468,8.56823754098335,11.0016910852091,9.18566127904266,61.75,-9.302325581395344
Perlis,2019,2087.37244564133,578.805530778065,-3.16099317725975,-6.15231493171819,8.218001754493425,57.416666666666664,
Perlis,2020,1193.108,224.066307262435,-42.8416331502629,-61.2881537325271,4.187813267813268,44.25,-22.931785195936136
Perlis,2021,406.796,78.0132972300273,-65.9045115781639,-65.182941521567,1.4144506258692626,34.5,-22.033898305084744
Perlis,2022,1669.175,455.618787502378,310.322372884689,484.027087278411,5.759748102139406,70.25,103.6231884057971
Perlis,2023,1950.771,583.870113407444,16.87037009301,28.1488229684551,6.655649948822926,66.66666666666667,-5.100830367734275
Perlis,2024,3225.428,1002.81372997629,65.3411907394564,71.75287909907,10.867345013477088,59.916666666666664,-10.12500000000001
Perlis,2025,3755.682,1211.20382670128,16.4398027176548,20.7805388474205,12.64539393939394,57.75,-3.616133518776074
Pulau Pinang,2019,15410.6252310139,6653.65601165969,6.6443003758152,7.93374298981246,8.71247468962794,63.833333333333336,-17.099567099567096
Pulau Pinang,2020,8929.515,2427.15888222993,-42.0561147510788,-63.5214252438563,5.1307256952424725,66.0,3.3942558746736253
Pulau Pinang,2021,5060.864,1158.8101313766,-43.3243126866353,-52.2565193461108,2.908542528735632,62.666666666666664,-5.050505050505054
Pulau Pinang,2022,10002.735,3648.39930839687,97.6487611601498,214.840128646682,5.745726348440462,79.16666666666667,26.329787234042566
Pulau Pinang,2023,13127.587,5814.73535455749,31.2399758666005,59.3777123346875,7.405837188310956,66.41666666666667,-16.105263157894736
Pulau Pinang,2024,16604.803,7424.29144738457,26.4878534036758,27.6806422766178,9.222328797556234,53.333333333333336,-19.698870765370142
Pulau Pinang,2025,17717.979,8490.35816379311,6.70393981789486,14.3591711608263,9.819863104805188,47.666666666666664,-10.625000000000009
Sabah,2019,22035.0674727792,8080.66670997202,8.22787900636166,7.63353520038148,5.6436501057215445,82.08333333333333,2.6041666666666607
Sabah,2020,10336.897,2676.77169855219,-53.0888797469325,-66.8743707094255,3.023545396045396,51.416666666666664,-37.36040609137056
Sabah,2021,3815.016,1052.02211208469,-63.0932184000673,-60.6981009006593,1.117920647014007,48.666666666666664,-5.348460291734198
Sabah,2022,12589.005,4825.8695952754,229.98564095144,358.723209316622,3.6864930159009046,84.33333333333333,73.2876712328767
Sabah,2023,16080.074,6712.51460553787,27.7310955075481,39.0944051225405,4.470785442210916,75.91666666666667,-9.980237154150187
Sabah,2024,20591.813,8634.24673303019,28.0579492358057,28.6290941684787,5.502889631213255,65.75,-13.391877058177831
Sabah,2025,22361.168,9753.3273839687,8.5925168415234,12.9609528837934,5.955831135970169,67.45833333333333,2.5982256020278762
Sarawak,2019,19793.3756868456,8670.74332850991,2.13178834070735,6.45730405363751,7.053947144278546,48.666666666666664,
Sarawak,2020,9393.255,3384.67058146855,-52.5434410551676,-60.9644703662308,3.828200268981538,54.25,11.472602739726034
Sarawak,2021,6510.9,1935.25867544385,-30.6853694486097,-42.8228352253951,2.6406959766385465,39.083333333333336,-27.956989247311824
Sarawak,2022,15464.621,5430.77227763946,137.518945153512,180.622551731691,6.252120881342227,54.833333333333336,40.298507462686565
